CITY_TR,DISTRICT_TR,CITY_EN,DISTRICT_EN,DISSOLVEDC,DISTRICTCODE,INSHP,CITYDATE,DISTRICTDATE,DISTRICTFROM,DISSOLVE,CENTRALOLD,CENTRALDISTRICT,DISTRICTCOUNT,CITYCODE,ISO31662,NUTS,AREA,POP2000,POP2014,FROM,FROMDATE,METROPOL,METROPOLDATE
Ankara,Polatlı,Ankara,Polatli,1578,1578,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Pursaklar,Ankara,Pursaklar,1130,2034,1,,03/22/08,"Altındağ, Çubuk",4,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Şereflikoçhisar,Ankara,Sereflikochisar,1658,1658,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Sincan,Ankara,Sincan,1747,1747,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Ankara,Yenimahalle,Ankara,Yenimahalle,1723,1723,1,,,,,0,1,25,6,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
Antalya,Akseki,Antalya,Akseki,1121,1121,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Aksu,Antalya,Aksu,1138,2035,1,,03/22/08,Merkez,5,0,1,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Alanya,Antalya,Alanya,1126,1126,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Demre,Antalya,Demre,1811,1811,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Döşemealtı,Antalya,Dosemealti,1138,2036,1,,03/22/08,Merkez,5,0,1,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Elmalı,Antalya,Elmali,1303,1303,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Finike,Antalya,Finike,1333,1333,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Gazipaşa,Antalya,Gazipasa,1337,1337,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Gündoğmuş,Antalya,Gundogmus,1370,1370,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,İbradı,Antalya,Ibradi,1946,1946,1,,05/20/90,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Kaş,Antalya,Kas,1451,1451,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Kemer,Antalya,Kemer,1959,1959,1,,05/20/90,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Kepez,Antalya,Kepez,1138,2037,1,,03/22/08,Merkez,5,0,1,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Konyaaltı,Antalya,Konyaalti,1138,2038,1,,03/22/08,Merkez,5,0,1,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Korkuteli,Antalya,Korkuteli,1483,1483,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Kumluca,Antalya,Kumluca,1492,1492,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Manavgat,Antalya,Manavgat,1512,1512,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Merkez,Antalya,Merkez,1138,1138,0,,,,5,1,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Muratpaşa,Antalya,Muratpasa,1138,2039,1,,03/22/08,Merkez,5,0,1,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Antalya,Serik,Antalya,Serik,1616,1616,1,,,,,0,0,19,7,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
Ardahan,Çıldır,Ardahan,Cildir,1252,1252,1,06/03/92,,,,0,0,6,75,TR-75,TRA24,4967.63,133756,100809,Kars,05/27/92,0,NA
Ardahan,Damal,Ardahan,Damal,2008,2008,1,06/03/92,06/03/92,,,0,0,6,75,TR-75,TRA24,4967.63,133756,100809,Kars,05/27/92,0,NA
Ardahan,Göle,Ardahan,Gole,1356,1356,1,06/03/92,,,,0,0,6,75,TR-75,TRA24,4967.63,133756,100809,Kars,05/27/92,0,NA
