NAME_1_TR,NAME_2_TR,NAME_1_EN,NAME_2_EN,DIST_CNT,CODE,IN_MIB,fromshp1,fromshp2,,IN_GADM
BALIKESİR,BİGADİÇ,BALIKESIR,BIGADIC,20,1191,1,BALİKESİR ,BİGADİÇ,TRUE,1
BALIKESİR,BURHANİYE,BALIKESIR,BURHANIYE,20,1216,1,BALİKESİR ,BURHANİYE,TRUE,1
BALIKESİR,DURSUNBEY,BALIKESIR,DURSUNBEY,20,1291,1,BALİKESİR ,DURSUNBEY,TRUE,1
BALIKESİR,EDREMİT,BALIKESIR,EDREMIT,20,1294,1,BALİKESİR ,EDREMİT,TRUE,1
BALIKESİR,ERDEK,BALIKESIR,ERDEK,20,1310,1,BALİKESİR ,ERDEK,TRUE,1
BALIKESİR,GÖMEÇ,BALIKESIR,GOMEC,20,1928,1,BALİKESİR ,GÖMEÇ,TRUE,1
BALIKESİR,GÖNEN,BALIKESIR,GONEN,20,1360,1,BALİKESİR ,GÖNEN,TRUE,1
BALIKESİR,HAVRAN,BALIKESIR,HAVRAN,20,1384,1,BALİKESİR ,HAVRAN,TRUE,1
BALIKESİR,İVRİNDİ,BALIKESIR,IVRINDI,20,1418,1,BALİKESİR ,İVRİNDİ,TRUE,1
BALIKESİR,KARESİ,BALIKESIR,KARESI,20,2078,1,,,FALSE,0
BALIKESİR,KEPSUT,BALIKESIR,KEPSUT,20,1462,1,BALİKESİR ,KEPSUT,TRUE,1
BALIKESİR,MANYAS,BALIKESIR,MANYAS,20,1514,1,BALİKESİR ,MANYAS,TRUE,1
BALIKESİR,MARMARA,BALIKESIR,MARMARA,20,1824,1,BALİKESİR ,MARMARA,TRUE,1
BALIKESİR,SAVAŞTEPE,BALIKESIR,SAVASTEPE,20,1608,1,BALİKESİR ,SAVAŞTEPE,TRUE,1
BALIKESİR,SINDIRGI,BALIKESIR,SINDIRGI,20,1619,1,BALİKESİR ,SINDIRGI,TRUE,1
BALIKESİR,SUSURLUK,BALIKESIR,SUSURLUK,20,1644,1,BALİKESİR ,SUSURLUK,TRUE,1
BARTIN,AMASRA,BARTIN,AMASRA,3,1761,1,BARTIN ,AMASRA,TRUE,1
BARTIN,KURUCAŞİLE,BARTIN,KURUCASILE,3,1496,1,BARTIN ,KURUCAŞİLE,TRUE,1
BARTIN,MERKEZ,BARTIN,MERKEZ,,1172,0,BARTIN ,MERKEZ,TRUE,1
BARTIN,ULUS,BARTIN,ULUS,3,1701,1,BARTIN ,ULUS,TRUE,1
BATMAN,BEŞİRİ,BATMAN,BESIRI,5,1184,1,BATMAN ,BEŞİRİ,TRUE,1
BATMAN,GERCÜŞ,BATMAN,GERCUS,5,1345,1,BATMAN ,GERCÜŞ,TRUE,1
BATMAN,HASANKEYF,BATMAN,HASANKEYF,5,1941,1,BATMAN ,HASANKEYF,TRUE,1
BATMAN,KOZLUK,BATMAN,KOZLUK,5,1487,1,BATMAN ,KOZLUK,TRUE,1
BATMAN,MERKEZ,BATMAN,MERKEZ,,1174,0,BATMAN ,MERKEZ,TRUE,1
BATMAN,SASON,BATMAN,SASON,5,1607,1,BATMAN ,SASON,TRUE,1
BAYBURT,AYDINTEPE,BAYBURT,AYDINTEPE,2,1767,1,BAYBURT ,AYDINTEPE,TRUE,1
BAYBURT,DEMİRÖZÜ,BAYBURT,DEMIROZU,2,1788,1,BAYBURT ,DEMİRÖZÜ,TRUE,1
BAYBURT,MERKEZ,BAYBURT,MERKEZ,,1176,0,BAYBURT ,MERKEZ,TRUE,1
BİLECİK,BOZÜYÜK,BILECIK,BOZUYUK,7,1210,1,BİLECİK ,BOZÜYÜK,TRUE,1
BİLECİK,GÖLPAZARI,BILECIK,GOLPAZARI,7,1359,1,BİLECİK ,GÖLPAZARI,TRUE,1
BİLECİK,İNHİSAR,BILECIK,INHISAR,7,1948,1,BİLECİK ,İNHİSAR,TRUE,1
BİLECİK,MERKEZ,BILECIK,MERKEZ,,1192,0,BİLECİK ,MERKEZ,TRUE,1
BİLECİK,OSMANELİ,BILECIK,OSMANELI,7,1559,1,BİLECİK ,OSMANELİ,TRUE,1
BİLECİK,PAZARYERİ,BILECIK,PAZARYERI,7,1571,1,BİLECİK ,PAZARYERİ,TRUE,1
BİLECİK,SÖĞÜT,BILECIK,SOGUT,7,1636,1,BİLECİK ,SÖĞÜT,TRUE,1
BİLECİK,YENİPAZAR,BILECIK,YENIPAZAR,7,1857,1,BİLECİK ,YENİPAZAR,TRUE,1
BİNGÖL,ADAKLI,BINGOL,ADAKLI,7,1750,1,BİNGÖL ,ADAKLI,TRUE,1
BİNGÖL,GENÇ,BINGOL,GENC,7,1344,1,BİNGÖL ,GENÇ,TRUE,1
BİNGÖL,KARLIOVA,BINGOL,KARLIOVA,7,1446,1,BİNGÖL ,KARLIOVA,TRUE,1
BİNGÖL,KİĞI,BINGOL,KIGI,7,1475,1,BİNGÖL ,KİĞI,TRUE,1
BİNGÖL,MERKEZ,BINGOL,MERKEZ,,1193,0,BİNGÖL ,MERKEZ,TRUE,1
BİNGÖL,SOLHAN,BINGOL,SOLHAN,7,1633,1,BİNGÖL ,SOLHAN,TRUE,1
BİNGÖL,YAYLADERE,BINGOL,YAYLADERE,7,1855,1,BİNGÖL ,YAYLADERE,TRUE,1
